Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
166;21753;"New Scientist";journal;"02624079";0,112;Q4;20;222;680;0;80;533;0,13;0,00;43,75;0;9;United Kingdom;Western Europe;"Reed Business Information Ltd";"1973-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
167;37052;"Papers and Proceedings - Royal Society of Tasmania";journal;"00804703";0,112;Q4;13;1;32;0;5;30;0,08;0,00;0,00;0;0;Australia;Pacific Region;"Royal Society of Tasmania";"1982-1997, 2009-2011, 2015-2021";"Multidisciplinary (Q4)";"Multidisciplinary"
168;19700166523;"Synthesiology";journal;"18830978, 18832318";0,107;Q4;11;0;14;0;2;13;0,14;0,00;0,00;0;0;Japan;Asiatic Region;"Nat. Inst. of Adv. Industrial Science and Technology (AIST)";"2008-2019, 2021";"Engineering (miscellaneous) (Q4); Multidisciplinary (Q4); Social Sciences (miscellaneous) (Q4)";"Engineering; Multidisciplinary; Social Sciences"
169;21101152875;"International Journal of Canadian Studies";journal;"19235291";0,105;Q4;2;13;24;346;4;20;0,10;26,62;30,77;0;4;Canada;Northern America;"University of Toronto Press";"2020-2023";"Multidisciplinary (Q4)";"Multidisciplinary"
170;21101057627;"International Conference on Multidisciplinary Research";conference and proceedings;"16943597, 16943600";0,104;-;2;30;17;825;2;15;0,00;27,50;44,19;0;20;Mauritius;Africa;"Society for Research and Knowledge Management";"2018, 2020, 2023";"Multidisciplinary";"Multidisciplinary"
171;21101133576;"Multidisciplinary Science Journal";journal;"26751240";0,103;Q4;2;183;50;4390;4;49;0,10;23,99;41,77;0;87;Brazil;Latin America;"Malque Publishing";"2019-2024";"Multidisciplinary (Q4)";"Multidisciplinary"
172;23467;"Taiwan Review";journal;"17275199, 17275148";0,100;Q4;3;80;234;0;0;227;0,00;0,00;25,00;0;1;Taiwan;Asiatic Region;"Kwang Hwa Publishing Co.";"2003-2021";"Multidisciplinary (Q4)";"Multidisciplinary"
173;21101164614;"Cultura e Scienza del Colore";journal;"23849568";;-;1;21;0;515;0;0;0,00;24,52;62,75;0;5;Italy;Western Europe;"Gruppo del Colore – Associazione Italiana Colore";"2023";"Multidisciplinary";"Multidisciplinary"
174;21101171696;"Journal of Asian Scientific Research";journal;"22231331, 22265724";;-;1;11;0;433;0;0;0,00;39,36;58,33;0;4;Pakistan;Asiatic Region;"Asian Economic and Social Society";"2023";"Multidisciplinary";"Multidisciplinary"
175;21101163455;"Multidisciplinary Reviews";journal;"25953982";;-;1;51;0;2552;0;0;0,00;50,04;31,30;0;27;Brazil;Latin America;"Malque Publishing";"2023";"Multidisciplinary";"Multidisciplinary"
